Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-01-12 07:58:36,false,"York Running","10.00","926","01:53:52","146","161","167","235","11:23","3:26","301","279","0.85","0.0","0.0","0.0","0.0","0.0","1:53:52","0:00","0.0","0:00","No","00:03.88","11","0.0"
Running,2020-01-08 16:19:09,false,"York Running","6.01","641","01:09:09","152","163","167","183","11:31","8:10","91","101","0.84","0.0","0.0","0.0","0.0","0.0","1:09:09","0:00","0.0","0:00","No","00:04.42","7","0.0"
Running,2020-01-06 16:35:27,false,"York Running","3.98","400","00:46:59","143","155","165","231","11:49","5:43","85","73","0.83","0.0","0.0","0.0","0.0","0.0","46:59","0:00","0.0","0:00","No","11:08.46","4","0.0"
Running,2020-01-05 07:42:40,false,"York Running","8.00","792","01:31:19","146","164","168","180","11:25","2:19","591","595","0.84","0.0","0.0","0.0","0.0","0.0","1:31:19","0:00","0.0","0:00","No","00:04.14","9","0.0"
Running,2020-01-02 16:09:11,false,"York Running","4.00","416","00:46:02","146","158","162","177","11:30","3:26","92","94","0.86","0.0","0.0","0.0","0.0","0.0","46:02","0:00","0.0","0:00","No","00:03.01","5","0.0"
Running,2020-01-01 09:07:02,false,"York Running","5.01","531","00:56:09","151","163","166","180","11:13","8:36","300","286","0.86","0.0","0.0","0.0","0.0","0.0","56:09","0:00","0.0","0:00","No","00:04.06","6","0.0"
Running,2019-12-30 07:51:42,false,"York Running","3.01","318","00:33:56","148","170","164","177","11:16","5:40","37","24","0.87","0.0","0.0","0.0","0.0","0.0","33:56","0:00","0.0","0:00","No","00:08.71","4","0.0"
Running,2019-12-16 15:56:55,false,"York Running","3.92","403","00:44:02","146","154","165","179","11:14","4:17","38","44","0.87","0.0","0.0","0.0","0.0","0.0","44:02","0:00","0.0","0:00","No","10:13.84","4","0.0"
Running,2019-12-12 16:29:53,false,"York Running","5.52","564","00:58:37","153","161","165","179","10:38","3:05","1,802","1,809","0.92","0.0","0.0","0.0","0.0","0.0","58:37","0:00","0.0","0:00","No","05:30.99","6","0.0"
Running,2019-12-09 16:05:26,false,"York Running","4.01","400","00:45:15","144","158","159","183","11:18","6:05","78","83","0.90","0.0","0.0","0.0","0.0","0.0","45:15","0:00","0.0","0:00","No","00:07.13","5","0.0"
